4680,4680,4680,4680,4680,4680,4680,4680,4510,5345
592,592,592,592,592,312,312,222,129,768
1884,1884,1884,1884,1884,1832,1832,984,0,2706
588,588,588,588,588,588,693,693,963,1270
2028,2028,2028,2028,2028,2028,2028,2028,2028,2170
6360,6360,6360,6360,6360,6360,6360,6360,6094,7130
1512,1512,1512,1512,1512,1512,1512,1512,1512,1648
3516,3516,3516,3516,3516,3516,3516,3516,3516,3636
40536,40536,40536,40536,40536,40536,40536,40536,32528,46668
6060,6060,6060,6060,6060,6060,6060,6060,5420,7293
0,426,426,426,426,440,380,272,272,651
9144,9144,9144,9144,9144,9144,9144,9144,7208,10429
19176,19176,19176,19176,19176,19176,19176,19176,15656,22552
3576,3576,3576,3576,3576,3576,3576,3576,3576,3706
1920,1920,1920,1920,1920,1920,1920,1920,1920,2057
10212,10212,10212,10212,10212,10212,10212,10212,8024,11585
2004,2004,2004,2004,2004,2004,2004,2136,2136,2908
2472,2472,2472,2472,2472,2472,2472,2472,2072,2951
3240,3240,3240,3240,3240,3240,3240,3192,3192,4507
3888,3888,3888,3888,3888,3888,3888,3888,3888,4259
2268,2268,2268,2268,2268,2268,2268,2268,2134,2626
1644,1644,1644,1644,1644,1644,1644,1644,1644,1869
2112,2112,2112,2112,2112,2112,2112,2112,2000,2578
4524,4524,4524,4524,4524,4524,4524,4524,4524,4762
5436,5436,5436,5436,5436,5436,5436,4720,4720,6573
4476,4476,4476,4476,4476,4476,4476,4476,3510,4951
7128,7128,7128,7128,7128,7128,7128,7128,5920,8486
3564,3564,3564,3564,3564,5608,5608,5608,5608,7152
1764,1764,1764,1764,1764,1764,1764,1764,1764,1764
8316,8316,8316,8316,8316,8316,8316,8316,8316,10037
2736,2736,2736,2736,2736,2736,2736,2736,2304,3243
3588,3588,3588,3588,3588,3588,3663,3968,3968,5403
4548,4548,4548,4548,4548,4548,4548,4548,4548,4700
4440,4440,4440,4440,4440,4440,4440,4440,4455,5294
4500,4500,4500,4500,4500,4500,4500,4500,4500,4649
4248,4248,4248,4248,4248,4248,4248,3312,3600,5161
2484,2484,2484,2484,2484,2484,2484,2376,2104,3009
2676,2676,2676,2676,2676,2676,2676,2676,2676,2799
3660,3660,3660,3660,3660,3660,2880,3760,3760,5129
7824,7824,7824,7824,7824,7824,7824,7824,7824,8657
6840,6840,6840,6840,6840,6840,6840,6840,6320,8933
3516,3516,3516,3516,3516,4984,4984,4984,4984,6255
1464,1464,1464,1464,1464,1464,1464,1464,1397,1624
1416,1416,1416,1416,1416,1416,1416,1470,1400,1974
3648,3648,3648,3648,3648,3648,3648,3648,3476,4046
2448,2448,2448,2448,2448,2448,2448,2448,2448,2524
23016,23016,23016,23016,23016,23016,23016,23016,23016,23203
1260,1260,1260,1260,1260,1260,1260,1260,1276,1453
6648,6648,6648,6648,6648,6648,6648,6648,6648,7244
5940,5940,5940,5940,5940,5940,5940,5940,5940,6196
816,816,816,816,816,816,816,816,816,849
720,720,720,720,720,720,720,720,720,760
636,636,636,636,636,636,295,295,292,725
10896,10896,10896,10896,10896,10896,10896,8694,9728,13716
1632,1632,1632,1632,1632,1632,1632,1632,1208,1850
0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0
2304,2304,2304,2304,2304,2304,2304,2304,1776,2587
2328,2328,2328,2328,2328,2328,2328,2328,2328,2539
1500,1500,1500,1500,1500,1500,1500,1360,1360,1882
11796,11796,11796,11796,11796,11796,11796,11796,11796,12993
444,444,444,444,444,1088,1088,1088,1088,1322
2028,2028,2028,2028,2028,2028,2028,2028,1860,2392
336,336,336,336,336,407,560,560,560,830
2028,2028,2028,2028,2028,2028,2028,2028,2028,2277
972,972,972,972,972,1269,1656,1656,1656,2182
2700,2700,2700,2700,2700,2700,2700,2700,2849,3289
9744,9744,9744,9744,9744,9744,9744,9744,7824,11191
8484,8484,8484,8484,8484,8484,8484,8484,6536,9475
0,0,0,0,0,0,0,0,0,61
7320,7320,7320,7320,7320,7320,7320,7320,6842,8170
9000,9000,9000,9000,9000,9000,9000,9000,9000,9521
2640,2640,2640,2640,2640,2640,2640,2640,2394,3262
2928,2928,2928,2928,2928,2928,2928,2928,2928,3010
2868,2868,2868,2868,2868,2868,2868,2868,2760,3623
2904,2904,2904,2904,2904,2904,2904,2904,2904,2934
588,588,1552,1552,1552,1552,1552,924,0,2236
1104,1104,1104,1104,1104,1104,1104,1104,1104,1112
2616,2616,2616,2616,2616,2616,2420,2776,2776,3761
5124,5124,5124,5124,5124,5124,5124,5291,4872,7366
3420,3420,3420,3420,3420,3420,3420,3420,3420,3671
5796,5796,5796,5796,5796,5796,5796,5796,5796,5830
1272,1272,1272,1272,1272,1272,1384,1384,728,1939
0,0,0,60,99,0,0,0,0,215
